"id","type","category","one_line_summary","depends_on","auth_type","transport","source","tier","license","license_flag","hermes_coupling","portability","suggested_use","rewrite_brief"
"ascii-video","skill","creative","Production pipeline for turning video, audio, images, or generative input into artistic ASCII-character video/GIF output via a self-contained Python script.","Python 3.10+, NumPy, SciPy, Pillow, ffmpeg CLI, concurrent.futures (stdlib), optional OpenCV, optional ElevenLabs API for TTS narration","none","N/A","skills/creative/ascii-video/SKILL.md","builtin","MIT (repo)","","","MEDIUM","OPTIONAL — high creative payoff but requires a Python/NumPy/ffmpeg toolchain, not zero-dependency","Use for ASCII-art video requests: video-to-ASCII conversion, audio-reactive visualizers, generative animations, or lyric/TTS-narrated ASCII videos.; Pick a mode, plan a creative concept and per-scene visual variation, then implement a fixed 6-stage pipeline: load input, extract features, render a scene function to a pixel canvas, apply adaptive brightness tonemapping, run a shader/post-processing chain, then pipe frames to ffmpeg for encoding.; Pitfalls: never scale brightness with a flat multiplier (use percentile-based adaptive tonemap); never pipe ffmpeg's stderr to a blocking buffer on long renders; font-height queries need ascent+descent metrics; validate chosen glyphs actually render in the chosen font.; Verification: render single test frames at key timestamps before a full render, check canvas brightness clears a minimum threshold, confirm scene-to-scene cohesion matches the stated creative concept."
"baoyu-infographic","skill","creative","Produces a single infographic image by combining one of 21 information-layout templates with one of 21 visual-style templates into an assembled image-generation prompt.","write_file tool, clarify tool (option confirmation), image_generate tool","none","N/A","skills/creative/baoyu-infographic/SKILL.md","builtin","MIT (repo)","","image_generate, write_file, clarify, skill_view (layout/style references)","MEDIUM","DEFAULT — common, well-specified request type with a clear, repeatable workflow","Use when a user wants a single infographic summarizing content, choosing from a layout catalog crossed with a style catalog.; Analyze and faithfully restructure source content, recommend layout+style pairings suited to the content type, confirm choices plus aspect ratio and language, assemble into one large image prompt, then call the image-generation tool.; Pitfalls: never paraphrase or round source statistics/quotes; strip credentials/API keys from any saved intermediate file; keep one concept per section; stay consistent with the single chosen style.; Verification is largely procedural — one automatic retry on generation failure, plus a final summary reporting chosen options and output path back to the user."
"claude-design","skill","creative","Provides a design-process and taste framework — surface-first composition, anti-slop self-diagnosis, structured variation — for producing polished one-off HTML design artifacts in a CLI/API agent environment.","file-write tool, optional browser tool for screenshot/console verification","none","N/A","skills/creative/claude-design/SKILL.md","builtin","MIT (repo)","","","HIGH","DEFAULT — pure process/taste guidance with no dependencies, transfers to any coding agent","Use for from-scratch design deliverables with no dictated brand or token spec.; Understand the brief and audience, explicitly name one of seven 'surface' archetypes before choosing any colors or type, build the design system for that surface, then produce one self-contained HTML artifact.; Core insight: most generic-looking AI UI comes from a wrong high-level layout choice, not bad colors — composition must be locked in before styling.; Maintains a checklist of roughly ten diagnosable 'slop' tells (generic gradients, icon-topper headings, everything centered, unearned glassmorphism, default fonts) to score an artifact against before repairing it.; Verification: run the slop-tell self-audit and fix only what it flags, confirm the file was actually written and opens without console errors."
"design-md","skill","creative","Guides authoring, linting, diffing, and exporting Google's DESIGN.md open design-token spec files (YAML front matter plus rationale prose) using the official npm CLI.","Node.js/npx, @google/design.md npm package, write_file tool","none","N/A","skills/creative/design-md/SKILL.md","builtin","MIT (repo)","","write_file","HIGH","OPTIONAL — valuable but only for the specific niche of authoring a machine-readable token spec file rather than a rendered artifact","Use when the deliverable is a formal, versioned design-token specification file rather than a one-off rendered page.; Gather brand tone/color/type direction, write a DESIGN.md combining YAML front-matter tokens with a Markdown rationale body in canonical section order, then run the CLI via npx to lint structure and WCAG contrast and optionally export to Tailwind or DTCG JSON.; Pitfalls: component style variants must be separate sibling keys, not nested; hex colors and negative letter-spacing values must be quoted or YAML parsing breaks; typo'd typography sub-property names fail silently; on Windows the CLI binary name can collide with the .md file association.; Verification is the lint step itself, which must pass with no errors before the file is considered finished."
"humanizer","skill","creative","Detects and rewrites AI-sounding prose patterns to make text read naturally and with genuine voice, optionally calibrated against a user-supplied writing sample.","read_file/patch/write_file tools for file-based text edits","none","N/A","skills/creative/humanizer/SKILL.md","builtin","MIT (repo)","","read_file, patch, write_file","HIGH","DEFAULT — broadly applicable, no dependencies, useful for nearly any text-producing agent","Use whenever text needs to be rewritten so it no longer reads like LLM output, including matching a supplied voice sample.; Read input and calibration sample fully, scan against a catalog of AI writing tells (significance inflation, vague-authority attribution, overused vocabulary, em-dash/rule-of-three overuse, excessive hedging, formulaic structure), rewrite offending passages while preserving meaning, and deliberately add personality.; Key gotcha: a single rewrite pass usually isn't enough — explicitly ask what still sounds AI-written and revise again.; Verification is a qualitative reread: does it sound natural aloud, vary sentence structure, use specific detail, match the requested tone; show a diff rather than silently overwriting."
"manim-video","skill","creative","Pipeline for producing 3Blue1Brown-style narrated math and algorithm explainer animations using Manim Community Edition, LaTeX, and ffmpeg.","Python 3.10+, Manim Community Edition v0.20+, a full LaTeX distribution (texlive-full/mactex), ffmpeg CLI, optional ElevenLabs/Qwen3-TTS API for narration","none","N/A","skills/creative/manim-video/SKILL.md","builtin","MIT (repo)","","","MEDIUM","OPTIONAL — strong niche output but requires installing a heavy Manim + full LaTeX + ffmpeg toolchain","Use for animated educational content in a 3Blue1Brown visual style built with the Manim animation engine.; Verify the local toolchain first, write a narrative plan file, implement one animation Scene class per beat sharing color/typography constants, render at draft quality for iteration and only render production quality once, then stitch clips with ffmpeg and optionally layer narration.; Pitfalls: LaTeX strings must be raw strings; on-screen text near edges needs a minimum buffer; replacing text should use a transform rather than drawing new text over old; proportional fonts render with broken kerning so monospace fonts are required.; Verification: render draft-quality previews and still frames at key moments and compare against the original plan before committing to the expensive full-quality render."
"p5js","skill","creative","Pipeline for building single-file, browser-based p5.js sketches — generative art, interactive/audio-reactive visuals, WebGL/3D scenes, data visualizations — with optional headless export to image/video.","p5.js (CDN), optional p5.sound.js, optional CCapture.js, optional Puppeteer + Node.js, optional ffmpeg, optional p5.js-svg/p5.brush/p5.grain, browser to preview, write_file tool","none","N/A","skills/creative/p5js/SKILL.md","builtin","MIT (repo)","","write_file, skill_view (references/templates), bundled scripts (export-frames.js, render.sh, serve.sh)","HIGH","DEFAULT — versatile creative-coding output; base case (browser preview) has no exotic dependencies","Use for browser-based creative-coding requests delivered as one self-contained HTML file.; Settle on a creative concept and project mode, choose canvas size/renderer/frame rate/export target, write one HTML file loading the library from a CDN with a fixed code skeleton, preview in-browser, then export via built-in save functions or a bundled headless capture script.; Pitfalls: leaving the friendly-error system enabled costs up to 10x performance; generative work must always seed its randomness for reproducibility; the 3D rendering mode has a centered origin and flipped Y-axis; headless/video export requires the sketch to stop its own draw loop and signal readiness or the capture races ahead.; Verification: confirm frame rate holds near target in-browser, check the output matches the stated creative concept, inspect at the intended export resolution rather than the dev window size."
"popular-web-designs","skill","creative","Supplies a 54-entry catalog of reverse-engineered visual-design specifications (colors, type, components, spacing) for well-known products, for use as a starting point when styling a new HTML/CSS page to resemble a specific brand.","write_file tool, browser-based visual verification tool, optional tunnel/serving skill for live preview, Google Fonts CDN for font substitutes","none","N/A","skills/creative/popular-web-designs/SKILL.md","builtin","MIT (repo)","","skill_view (per-site template files), write_file, browser-based visual verification tool, tunnel/serving skill reference","MEDIUM","OPTIONAL — nice-to-have visual-vocabulary add-on for brand-matching requests, not a core capability","Use when a user wants a page or UI styled to resemble a specific known product or brand rather than an original design.; Pick the matching catalog entry, load its exact color/typography/component/spacing/shadow specification along with a suggested substitute web font, apply those tokens while generating HTML/CSS, then optionally serve and visually verify.; Pitfall: most cataloged sites use proprietary fonts unavailable via CDN, so a documented substitute must be used and its weight/size/letter-spacing followed closely.; Verification leans on visually inspecting the rendered page against the reference look, ideally via an automated screenshot/vision check."
"songwriting-and-ai-music","skill","creative","Craft guide covering song structure, rhyme/meter, emotional dynamics, and parody/adaptation, paired with prompt-engineering conventions for generating finished songs with an AI music tool like Suno.","none required for the craft guidance; assumes manual access to an external AI music generation service (e.g. Suno) to actually produce audio","none","N/A","skills/creative/songwriting-and-ai-music/SKILL.md","builtin","MIT (repo)","","references separate installable skills (heartmula, audiocraft) via hermes skills install","HIGH","DEFAULT — self-contained knowledge with no dependencies, easy value-add for any music-related request","Use for any songwriting task — original lyrics, structural planning, rhyme/meter craft, or parody/adaptation — and for turning finished lyrics into prompts for an AI song generator.; Nail down the emotional hook/concept, choose or invent a section structure, draft lyrics attending to rhyme variety and syllable stress while shaping an intentional energy arc, then translate into a generator prompt: a rich style-description field plus bracketed structural/performance tags placed directly in the lyrics.; For parody/adaptation, first map the original song's syllable count, rhyme scheme, and stressed beats, then fit new words to match.; Pitfalls: never name real artists or trademarks in a generation prompt; phonetically respell tricky words/numbers/acronyms; expect multiple generations per usable result.; Verification is manual and iterative: read or sing lyrics aloud to catch meter stumbles before generating, then pick or extend the best of several AI-generated takes."
"sdlc-review","skill","devops","Acts as an independent reviewer in a Kanban-style multi-agent pipeline, verifying an implementer's handoff against the original task spec and issuing an approve/request-changes/escalate verdict.","Kanban toolset (kanban_show, kanban_comment, kanban_complete, kanban_request_changes, kanban_block), read_file, search_files, terminal, delegate_task (for parallel review fan-out)","none","N/A","skills/devops/sdlc-review/SKILL.md","builtin","MIT (repo)","","kanban_show, kanban_comment, kanban_complete, kanban_request_changes, kanban_block, delegate_task, metadata.hermes.requires_toolsets=[kanban]","LOW","OPTIONAL — only relevant to platforms that already run a Kanban-style dispatcher/review-lane multi-agent workflow; the verdict logic is generic but tool names/lifecycle are Hermes/Kanban-specific.","Use when acting as the dedicated reviewer for a task that an implementer agent has just handed off as ready-for-review in a multi-agent pipeline, not for ordinary standalone review tickets.; Pull the full task history first before looking at the deliverable itself, treating the implementer's narrative as an unverified claim.; Rotate inspection angle by review round: round 1 reads the artifact cold and compares to narrative, round 2 checks out and executes/tests the work, round 3+ re-audits strictly against acceptance criteria and prior fixes.; Conclude with exactly one of three outcomes — approve with cited evidence, request specific correctable changes, or escalate/block — never edit the implementation directly.; Warns against rubber-stamping a good-sounding summary, vague feedback, blocking on style nits, and closing out without naming concrete evidence.; Verifies via a checklist: task record read, every acceptance criterion mapped to evidence, real checks run, prior requested fixes re-tested before final approval."
"email-inbox-triage","skill","email","Provides a repeatable inbox-zero workflow that scopes, retrieves, classifies, and drafts replies for email threads while requiring explicit user approval before any send/delete action.","An email connector skill such as himalaya or google-workspace for actual mailbox access; no direct external CLI of its own","none","N/A","skills/email/email-inbox-triage/SKILL.md","builtin","MIT (repo)","","metadata.hermes.related_skills=[himalaya, google-workspace]","MEDIUM","DEFAULT — the triage/classification/approval workflow is broadly generalizable to any agent with a mail connector, and addresses a common request.","Use for broad inbox-management requests rather than fetching one already-known message.; First pin down scope explicitly — account, folders, time window, filter, max threads, and that only read+draft actions are allowed unless send/delete is granted.; Retrieve full threads via the connector skill, then classify each into categories like urgent-reply, reply-needed, action-without-reply, waiting-on-other, reference, or noise, always citing a reason.; Before drafting, sample the user's own recent sent replies to calibrate tone/length/style.; Present proposed replies/actions as an approval batch and only execute after explicit sign-off; re-check message/draft state with the provider afterward rather than assuming success.; Warns about treating unread as important, missing earlier unanswered questions in long threads, generic tone, and retrying a send after an ambiguous error (risking duplicate mail)."
"himalaya","skill","email","Teaches the agent to drive the external Himalaya command-line email client for direct IMAP/SMTP mailbox operations (list, read, search, reply, send, move, flag, attachments) from the terminal.","himalaya CLI binary (installed via prebuilt script, Homebrew, or cargo), a ~/.config/himalaya/config.toml with IMAP/SMTP account and folder-alias settings, a password/secret retrievable via pass or system keyring, Hermes terminal tool (with pty support)","API key","N/A","skills/email/himalaya/SKILL.md","builtin","MIT (repo)","","terminal tool (including pty=true and background/process mode)","HIGH","DEFAULT — a self-contained, well-documented CLI wrapper that transfers to any agent capable of shelling out, provided the external binary and config are set up.","Use when the agent needs to operate a real mailbox directly from the terminal via IMAP/SMTP, distinct from a built-in gateway mail adapter.; Set up by installing the himalaya binary and creating a config file with account/IMAP/SMTP details and explicit plural folder-alias mappings for non-standard folder names.; For everyday operations use direct one-shot commands; for composing/replying/forwarding, prefer piping a pre-built message via stdin rather than an interactive editor.; Flags a specific pitfall: older singular config syntax silently fails to register folder mappings, causing save-to-Sent to fail after SMTP already delivered — retrying blindly re-sends duplicate mail.; Recommends requesting JSON-formatted CLI output for reliable machine parsing, and using PTY mode only for genuinely interactive commands.; No explicit built-in verification beyond reading command output/exit codes and watching for the duplicate-send failure mode."
"gif-search","skill","media","Lets the agent search and download reaction GIFs by calling the Tenor API directly with curl and parsing results with jq.","curl, jq, TENOR_API_KEY environment variable/credential, Tenor (Google) public search API","API key","N/A","skills/media/gif-search/SKILL.md","builtin","MIT (repo)","","convention of storing the key in ${HERMES_HOME:-~/.hermes}/.env","HIGH","DEFAULT — trivial, dependency-light and portable to any agent/platform with shell access and a free API key.","Use for finding or sending reaction GIFs, or pulling GIF assets for visual content.; Requires a free Tenor/Google API key stored as an environment variable before use.; Core procedure: build a curl GET request to Tenor's search endpoint with query/limit/key, pipe the JSON response through jq to extract the desired media-format URL.; To download rather than link, extract a result URL with jq and curl it to a local file.; Reminds to URL-encode query text and prefer the smaller preview variant when embedding in chat.; No explicit verification step beyond checking curl/jq returned non-empty results."
"songsee","skill","media","Wraps the external songsee Go CLI to render spectrograms and other audio-feature visualizations (mel, chroma, MFCC, loudness, tempogram, etc.) from audio files.","songsee CLI (installed via go install, requiring a Go toolchain), optional ffmpeg for non-WAV/MP3 formats, Hermes vision_analyze tool for inspecting the generated images","none","N/A","skills/media/songsee/SKILL.md","builtin","MIT (repo)","","vision_analyze tool","MEDIUM","OPTIONAL — a niche audio-analysis capability, not a general-purpose default; needs a Go toolchain and local binary install.","Use when a user wants a visual representation or feature analysis of an audio file.; Prerequisite: build the songsee binary via go install, and install ffmpeg only for formats beyond WAV/MP3.; Basic usage takes an audio file (or stdin) and output path; multiple visualization types combine into one multi-panel grid image via a comma-separated flag, with options for palette, size, FFT window/hop, frequency range, and time slice.; No major pitfalls beyond format support limits without ffmpeg.; Suggests feeding the resulting image into an image-understanding tool for automated analysis rather than only visual human inspection."
"youtube-content","skill","media","Fetches a YouTube video's transcript via a bundled helper script and transforms it into summaries, chaptered outlines, social threads, blog posts, or quote lists.","youtube-transcript-api Python package (installed with uv into the Hermes-managed environment), uv runtime, the skill's bundled fetch_transcript.py script","none","N/A","skills/media/youtube-content/SKILL.md","builtin","MIT (repo)","","SKILL_DIR path convention for locating the bundled script; uv-managed Python environment shared with the Hermes runtime","HIGH","DEFAULT — a common, generically useful request implemented with a portable, open Python dependency.","Use whenever a user shares a YouTube link or asks for a summary, transcript, or reformatted version of a video.; Accepts any standard YouTube URL form and fetches the transcript as plain text, optionally with timestamps and a language fallback chain.; If the transcript is empty, retry without a language filter before concluding transcripts are disabled; for very long transcripts, chunk into overlapping segments and summarize each before merging.; Reformats the raw transcript into whatever output is requested, then re-reads its own output to check coherence, timestamp accuracy, and completeness.; Explicit error handling guidance for disabled transcripts, private/unavailable videos, missing language, and missing dependency."
