id,type,category,one_line_summary,depends_on,auth_type,transport,source,tier,license,hermes_coupling,portability,suggested_use
calendly,mcp_server,productivity,"Manage Calendly scheduling links, events, and invitees.",OAuth grant to Calendly account; Calendly API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.calendly.com,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a vendor skill-discovery tool pair that duplicates Hermes's own skills/tool_search layer.,HIGH,"OPTIONAL — useful for Calendly users, not universal"
canva,mcp_server,design,"Create, search, and manage Canva designs.",OAuth grant to Canva account; Canva API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.canva.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — design-tool niche, though a well-known consumer brand"
circleci,mcp_server,dev-tools,"Diagnose CircleCI build failures, read logs, and rerun workflows.",OAuth grant to CircleCI account; CircleCI API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.circleci.com/v1/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a connectivity-ping tool and a billing-usage CSV export tool.,HIGH,OPTIONAL — CI platform niche
clickup,mcp_server,productivity,"Manage tasks, docs, and workspaces in ClickUp.",OAuth grant to ClickUp account; ClickUp API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.clickup.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,DEFAULT — widely used project-management platform
close,mcp_server,crm,"Work with Close CRM leads, opportunities, calls, and emails.",OAuth grant to Close account; Close API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.close.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Heavy curation of a 107-tool surface — drops help-center search, a generic search/fetch/paginate layer, AI field enrichment, and the entire outbound voice-agent cluster (which can place real AI phone calls to contacts).",HIGH,OPTIONAL — sales CRM niche
cloudflare,mcp_server,dev-tools,"Full Cloudflare API access (DNS, Workers, R2, KV, D1, WAF, Pages, Queues, etc.) via the official remote MCP.",OAuth grant scoped to a Cloudflare account; the entire Cloudflare product API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.cloudflare.com/mcp?codemode=false,official,"N/A (hosted service, vendor ToS applies, no local code)","Significant — Hermes deliberately pins the `codemode=false` query param so the server exposes ~3,300 discrete per-endpoint tools instead of the vendor's own search/execute sandbox layer, avoiding a double tool-discovery stack on top of Hermes's own tool_search; ships an extensive curated exclude-glob list removing ~1,400 enterprise/org-fleet/analytics-only tools.","MEDIUM — a standard MCP endpoint, but the codemode choice and exclude-list tuning are built specifically around Hermes's progressive-disclosure tool_search architecture","DEFAULT — Cloudflare is very widely used dev infrastructure, and the catalog entry has clearly been tuned to make the huge surface usable"
cloudinary,mcp_server,design,"Upload, search, and transform media assets in Cloudinary.",OAuth grant to Cloudinary account; Cloudinary API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://asset-management.mcp.cloudinary.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,OPTIONAL — media-asset-management niche
comfy-cloud,mcp_server,models,"Generate images, video, audio, and 3D content on Comfy Cloud.",OAuth grant to a Comfy account; Comfy Cloud generation credits/subscription,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://cloud.comfy.org/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Ships a curated default_enabled subset (20 of ~37 tools) chosen explicitly to fit Hermes's measured per-tool schema token budget, rather than the full surface.",HIGH,"OPTIONAL — generative-media niche, requires paid credits"
context7,mcp_server,dev-tools,"Fetch up-to-date, version-specific library documentation and code examples.",None required (optional API key for higher rate limits); Context7 docs index,none,"http, vendor-hosted, no auth required",https://mcp.context7.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"DEFAULT — broadly useful in almost any coding session, zero setup friction"
craft,mcp_server,productivity,"Manage structured docs, tasks, and a personal knowledge base in Craft.",OAuth grant to Craft account; Craft API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.craft.do/my/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — smaller note-taking app, narrower install base than Notion"
datadog,mcp_server,dev-tools,"Query logs, monitors, dashboards, and incidents from Datadog.",OAuth grant to Datadog account; Datadog API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.datadoghq.com/api/unstable/mcp-server/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal; suggest hosts cover both .com and .eu tenants.,HIGH,"OPTIONAL — observability vertical, enterprise-leaning paid product"
deepwiki,mcp_server,dev-tools,Ask natural-language questions about any public GitHub repository via Devin's DeepWiki index.,None (anonymous); public GitHub repos indexed by DeepWiki,none,"http, vendor-hosted, no auth required",https://mcp.deepwiki.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"DEFAULT — zero-friction, broadly useful when exploring any open-source dependency"
dropbox,mcp_server,productivity,"Search, read, and manage files stored in Dropbox.",OAuth grant to Dropbox account; Dropbox API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.dropbox.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes an account-quota probe and the niche file-request feature trio.,HIGH,DEFAULT — very widely used cloud file storage
figma,mcp_server,design,"Pull design context from Figma files, use Code Connect, and write back to the canvas via Figma's official remote MCP.",OAuth grant to Figma account; Figma API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.figma.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Notable — Figma's OAuth registration endpoint only allowlists specific client_name strings (""Claude Code"", ""Codex""); Hermes spoofs its OAuth client_name to ""Claude Code"" so registration isn't rejected — a Hermes-specific workaround, overridable via oauth.client_name.","MEDIUM — the endpoint is standard MCP, but a competing host must replicate the same allowlisted client_name to register successfully",DEFAULT — Figma is extremely widely used for design/dev handoff
fireflies,mcp_server,productivity,"Retrieve meeting transcripts, summaries, and action items from Fireflies.",OAuth grant to Fireflies account; Fireflies API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://api.fireflies.ai/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes experimental ChatGPT-connector search/fetch shims that duplicate the native transcript/summary tools.,HIGH,OPTIONAL — meeting-notes niche
gamma,mcp_server,design,"Generate and edit AI-assisted presentations, docs, and websites with Gamma.",OAuth grant to Gamma account; Gamma API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.gamma.app/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes per-viewer analytics tools (individual viewer identities/emails) as privacy-sensitive telemetry; keeps aggregate analytics.,HIGH,OPTIONAL — presentation-tool niche
gitlab,mcp_server,dev-tools,"Work with GitLab issues, merge requests, pipelines, and repository context.","OAuth grant to GitLab account; GitLab API (gitlab.com by default, self-managed via URL override)",OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://gitlab.com/api/v4/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a server-version probe and a Duo-product session-listing tool.,HIGH,DEFAULT — major source-control/CI platform
globalping,mcp_server,dev-tools,"Run ping, traceroute, DNS, and HTTP tests from a global network of probes.",OAuth grant to Globalping account; Globalping probe network API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.globalping.dev/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes in-band help/usage-guide and rate-limit probe tools.,HIGH,OPTIONAL — network-diagnostics niche
grafana,mcp_server,dev-tools,"Query metrics, logs, dashboards, alerts, and incidents from a Grafana Cloud stack.",OAuth grant scoped to Grafana RBAC role; Grafana Cloud (Prometheus/Loki/Tempo/Pyroscope),OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.grafana.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Defensive excludes for an opaque AI-delegation meta-tool and an agent-observability tool cluster that exist on the sibling self-hosted OSS server, pre-emptively blocked in case the hosted surface grows to match.",HIGH,"OPTIONAL — observability vertical; Cloud-hosted stacks only, not self-hosted Grafana"
hugging_face,mcp_server,models,"Browse models, datasets, Spaces, and papers on the Hugging Face Hub.",OAuth grant to Hugging Face account; Hugging Face Hub API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://huggingface.co/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — valuable for ML-focused users, not a universal need"
indeed,mcp_server,general,Search job listings on Indeed.,OAuth grant to Indeed account; Indeed API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.indeed.com/claude/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,OPTIONAL — occasional consumer use case
intercom,mcp_server,communication,"Access conversations, tickets, and customer data from Intercom.",OAuth grant to Intercom account; Intercom API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.intercom.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,OPTIONAL — customer-support tooling niche
kiwi,mcp_server,travel,Search Kiwi.com flight itineraries with direct booking links.,None (anonymous); Kiwi.com flight search API,none,"http, vendor-hosted, no auth required",https://mcp.kiwi.com,official,"N/A (hosted service, vendor ToS applies, no local code)","Enables only 1 of the server's 2 tools by default, excluding a developer-feedback tool per Hermes's policy of never shipping telemetry/feedback tools without explicit opt-in.",HIGH,"OPTIONAL — consumer travel niche; search only, booking happens on kiwi.com"
klaviyo,mcp_server,marketing,"Manage Klaviyo email/SMS marketing campaigns, flows, segments, and reporting.",OAuth grant (Owner/Admin/Manager role) to Klaviyo account; Klaviyo API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.klaviyo.com/mcp?core-tools-only=true&disable-tools-with-user-generated-content=true,official,"N/A (hosted service, vendor ToS applies, no local code)","Pins the vendor's own debloat query params by default, trimming a 262-tool surface to ~40 core tools and disabling tools that read user-generated content (vendor's prompt-injection mitigation).",HIGH,OPTIONAL — marketing-automation vertical
linear,mcp_server,dev-tools,"Find, create, and update Linear issues, projects, and comments.",OAuth grant to Linear account; Linear API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.linear.app/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal; leaves the full tool checklist pre-checked at install rather than a curated subset.,HIGH,DEFAULT — widely used modern issue tracker
microsoft-learn,mcp_server,dev-tools,"Look up official Microsoft, Azure, and .NET documentation and code samples.",None (anonymous); Microsoft Learn docs corpus,none,"http, vendor-hosted, no auth required",https://learn.microsoft.com/api/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"DEFAULT — zero-friction reference, broadly useful for Microsoft-stack development"
miro,mcp_server,design,"Read and edit Miro boards, diagrams, and frames.",OAuth grant to Miro account; Miro API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.miro.com/,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes vendor-deprecated diagram tools and four layout tools the vendor has flagged as deprecating soon.,HIGH,OPTIONAL — whiteboarding-tool niche
mixpanel,mcp_server,analytics,"Explore Mixpanel events, funnels, retention, and dashboards.",OAuth grant to Mixpanel account; Mixpanel API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.mixpanel.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes six static best-practice guidance pseudo-tools, a chart-widget renderer, a deep-link generator, and bulk-edit variants of event/property editing.",HIGH,OPTIONAL — product-analytics niche
monday,mcp_server,productivity,"Work with boards, items, docs, and workflows in monday.com.",OAuth grant to monday.com account; monday.com API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.monday.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes a generic execute-any-GraphQL escape hatch, an AI sprint-summary feature, and a tool that pings other users' notifications.",HIGH,DEFAULT — widely used project-management platform
motherduck,mcp_server,data,Query MotherDuck's cloud DuckDB warehouses with SQL.,OAuth grant to MotherDuck account; MotherDuck/DuckDB,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://api.motherduck.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Ships a curated default_enabled subset (9 of ~39 tools — core catalog/SQL only); scheduled-job and AI-guide product tools stay available but unchecked.,HIGH,OPTIONAL — cloud-data-warehouse niche
n8n-official,mcp_server,automation,Connect to a user's own n8n workflow-automation instance via its official MCP server with browser OAuth.,"N8N_MCP_SERVER_URL (env, user-supplied instance URL); the user's own n8n instance and its account permissions",OAuth,"http, self-hosted-by-user (URL-only, no install block — but the URL points at the user's own n8n deployment rather than a fixed vendor endpoint)",${N8N_MCP_SERVER_URL} (user-supplied at install time; no fixed vendor URL),official,"N/A (hosted service, vendor ToS applies, no local code)","Notable — deliberately uses a distinct connector name to avoid clobbering a retired legacy n8n stdio-bridge config, and prompts a required Hermes-specific env var for the instance URL rather than a fixed endpoint.","MEDIUM — the OAuth connection itself is standard MCP, but the legacy-name-preservation and URL-prompt shape are Hermes housekeeping specifics","OPTIONAL — automation platform, requires the user to already run their own n8n instance"
neon,mcp_server,data,"Manage Neon serverless Postgres projects, branches, and run SQL.",OAuth grant to Neon account; Neon API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.neon.tech/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes a redundant search/fetch navigation layer, a docs-lookup pair, a single-region observability beta, and the Neon Auth provisioning trio.",HIGH,"OPTIONAL — serverless-Postgres niche, popular among that specific dev audience"
netlify,mcp_server,dev-tools,"Manage sites, deploys, and environment variables via Netlify's hosted MCP.",OAuth grant to Netlify account; Netlify API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://netlify-mcp.netlify.app/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Minimal; deliberately omits a netlify.app suggestion host since those are deploy-preview links, not Netlify-management intent.",HIGH,DEFAULT — widely used static/web hosting platform
notion,mcp_server,productivity,Read and manage pages and databases in a Notion workspace.,OAuth grant to Notion account; Notion API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.notion.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,DEFAULT — extremely widely used knowledge-base/wiki tool
paypal,mcp_server,finance,"Manage payments, invoices, and subscriptions via PayPal's hosted MCP.",OAuth grant to PayPal account; PayPal API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.paypal.com/sse,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,OPTIONAL — payments/financial tool; real-money implications favor opt-in over default
plaid,mcp_server,finance,"Use the Plaid dashboard to inspect integrations, Items, and debug usage.",OAuth grant to Plaid dashboard account; Plaid dashboard API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://api.dashboard.plaid.com/mcp/,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes a meta ""introduction"" tool that only explains the other four tools.",HIGH,OPTIONAL — fintech-infrastructure developer niche
postman,mcp_server,dev-tools,"Manage Postman workspaces, collections, environments, and APIs.",OAuth grant to Postman account; Postman API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.postman.com/minimal,official,"N/A (hosted service, vendor ToS applies, no local code)","Pins the vendor's smaller documented ""/minimal"" endpoint (essential CRUD) by default instead of the 100+-tool Enterprise ""/mcp"" surface.",HIGH,DEFAULT — very widely used API-development tool
prisma-postgres,mcp_server,data,Create and manage Prisma Postgres databases.,OAuth grant to Prisma account; Prisma Postgres API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.prisma.io/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a bundled documentation Q&A tool from an otherwise database-management server.,HIGH,OPTIONAL — dev-database niche
railway,mcp_server,dev-tools,"Manage Railway projects, services, deployments, and environments.",OAuth grant to Railway account; Railway API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.railway.com,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes railway-agent, an opaque server-side AI-delegation meta-tool that would act outside Hermes's per-tool approval loop (same exclusion pattern as Grafana's ask_assistant).",HIGH,OPTIONAL — hosting-platform niche
robinhood,mcp_server,finance,Place trades and check portfolio/balances via Robinhood's agentic-trading MCP.,OAuth grant to a dedicated Robinhood agentic-trading account; Robinhood brokerage API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://agent.robinhood.com/mcp/trading,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes upsell and social-watchlist tools; deliberately leaves real order-placing tools enabled, with an explicit caution surfaced in post-install docs.",HIGH,"SKIP by default — can place real trades with real money; the manifest itself flags this with a caution, better suited to explicit opt-in than a suggested default"
semgrep,mcp_server,dev-tools,Scan code for security vulnerabilities using Semgrep.,OAuth grant to Semgrep account; Semgrep scanning API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.semgrep.ai/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a duplicate scan tool and static metadata/schema-probe tools; notes the vendor archived the standalone repo so the live surface may drift.,HIGH,"OPTIONAL — valuable for security-conscious workflows, not a universal need"
sentry,mcp_server,dev-tools,"Pull issues, stack traces, and error context from Sentry.",OAuth grant to Sentry account; Sentry API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.sentry.dev/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,DEFAULT — very widely used error-tracking tool for developers
square,mcp_server,finance,"Manage catalog, orders, and payments via Square's hosted MCP.",OAuth grant to Square account; Square API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.squareup.com/sse,official,"N/A (hosted service, vendor ToS applies, no local code)","Minimal; deliberately keys suggestion matching off ""squareup"" rather than the common English word ""square"" to avoid false triggers.",HIGH,OPTIONAL — merchant/payments vertical
strava,mcp_server,general,"Read-only access to Strava activities, fitness trends, and training load.",OAuth grant to Strava account (subscription required); Strava API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.strava.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — consumer fitness niche, requires a paid Strava subscription"
stripe,mcp_server,finance,"Manage payments, customers, and invoices via Stripe's hosted MCP.",OAuth grant to Stripe account; Stripe API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.stripe.com,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,DEFAULT — extremely widely used payments platform for developers and businesses
supabase,mcp_server,data,"Access database, auth, and storage from Supabase projects.",OAuth grant to Supabase account; Supabase API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.supabase.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,DEFAULT — very widely used developer backend platform
todoist,mcp_server,productivity,Manage Todoist tasks and projects.,OAuth grant to Todoist account; Todoist API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://ai.todoist.net/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes OpenAI-connector-compatibility search/fetch duplicates and a niche template import/export pair.,HIGH,"DEFAULT — widely used personal task manager, a natural fit for an agent assistant"
trivago,mcp_server,travel,Compare hotel prices by city and dates via trivago.,None (anonymous); trivago hotel-price comparison data,none,"http, vendor-hosted, no auth required",https://mcp.trivago.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — consumer travel niche; search only, booking happens on linked sites"
twelve-data,mcp_server,finance,"Pull stock, forex, and crypto market data from Twelve Data.",OAuth grant to Twelve Data account; Twelve Data market-data API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.twelvedata.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Excludes OAuth-plumbing tools that the cloud server exposes as callable tools, plus an account-quota probe.",HIGH,OPTIONAL — market-data niche
twilio-docs,mcp_server,dev-tools,"Search Twilio's developer documentation (public beta, read-only).",None (anonymous); Twilio docs corpus,none,"http, vendor-hosted, no auth required",https://mcp.twilio.com/docs,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — narrow to Twilio-integration work; docs search only, no account actions"
unreal-engine,mcp_server,gamedev,"Drive a running Unreal Engine 5.8 editor (spawn actors, lighting, materials, automation tests) over its local, editor-embedded MCP server.","A locally running Unreal Editor 5.8+ instance with Epic's official ""Unreal MCP"" plugin enabled; no cloud account",none,"http, local-only (127.0.0.1) — no install block; the server is embedded in the user's own Editor process, not run or installed by Hermes, and the vendor's design has no authentication of its own","http://127.0.0.1:8000/mcp (local; Epic's editor plugin, not distributed by Hermes)",official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal beyond connecting to the local URL; the exact tool surface depends on the project's enabled toolsets in the running editor.,"HIGH — standard MCP over local HTTP, any MCP client could connect the same way","SKIP by default — narrow game-dev vertical, requires a locally running Editor session, and the vendor itself labels the plugin experimental"
vercel,mcp_server,dev-tools,"Inspect deployments, logs, and projects via Vercel's hosted MCP.",OAuth grant to Vercel account; Vercel API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.vercel.com,official,"N/A (hosted service, vendor ToS applies, no local code)","Minimal; deliberately omits a vercel.app suggestion host since those are deploy-preview links about the previewed site, not Vercel-management intent.",HIGH,DEFAULT — very widely used frontend hosting/deploy platform
webflow,mcp_server,dev-tools,"Manage Webflow sites, CMS collections, and pages via Webflow's hosted MCP.",OAuth grant to Webflow account; Webflow API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.webflow.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Minimal; deliberately omits a webflow.io suggestion host (published staging sites, not Webflow-management intent).",HIGH,"OPTIONAL — website-builder niche, well known but not core dev infra"
wolfram,mcp_server,tools,"Perform Wolfram|Alpha computation, math, and curated-knowledge lookups.",None (anonymous); Wolfram|Alpha computational engine,none,"http, vendor-hosted, no auth required",https://agenttools.wolfram.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"DEFAULT — zero-friction, broadly useful computational/knowledge tool"
wordpress-com,mcp_server,dev-tools,"Manage WordPress.com posts, pages, drafts, stats, and comments.",OAuth grant to WordPress.com account; WordPress.com API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://public-api.wordpress.com/wpcom/v2/mcp/v1,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal.,HIGH,"OPTIONAL — well-known CMS but a blog-specific vertical, not a universal need"
